Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xGp90,xAp90,xG+xA,npxGp90,npxG+xA,Matches
135,Federico Fernández,ar ARG,DF,Newcastle Utd,30,1989,23,20,"1,808",2,1,0,0,4,0,0.1,0.05,0.15,0.1,0.15,1.4,1.4,0.3,0.07,0.02,0.09,0.07,0.09,Matches
128,Jonny Evans,nir NIR,DF,Leicester City,31,1988,29,29,"2,576",1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,2.2,2.2,0.4,0.08,0.01,0.09,0.08,0.09,Matches
222,Michael Keane,eng ENG,DF,Everton,26,1993,22,19,"1,746",1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,1.4,1.4,0.4,0.07,0.02,0.09,0.07,0.09,Matches
130,Fabinho,br BRA,MF,Liverpool,25,1993,20,15,"1,444",1,1,0,0,5,0,0.06,0.06,0.12,0.06,0.12,0.2,0.2,1.2,0.01,0.08,0.09,0.01,0.09,Matches
91,Jack Cork,eng ENG,MF,Burnley,30,1989,27,27,"2,368",0,0,0,0,1,0,0,0,0,0,0,1.8,1.8,0.7,0.07,0.03,0.09,0.07,0.09,Matches
173,Mattéo Guendouzi,fr FRA,MF,Arsenal,20,1999,22,17,"1,591",0,1,0,0,6,0,0,0.06,0.06,0,0.06,0.6,0.6,1.1,0.03,0.06,0.09,0.03,0.09,Matches
350,Erik Pieters,nl NED,DF,Burnley,30,1988,15,14,"1,234",0,3,0,0,1,0,0,0.22,0.22,0,0.22,0.2,0.2,1,0.01,0.07,0.09,0.01,0.09,Matches
87,Séamus Coleman,ie IRL,DF,Everton,30,1988,18,14,"1,192",0,1,0,0,5,1,0,0.08,0.08,0,0.08,0.6,0.6,0.6,0.04,0.04,0.09,0.04,0.09,Matches
89,Lewis Cook,eng ENG,MF,Bournemouth,22,1997,20,11,"1,004",0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.8,0.02,0.07,0.09,0.02,0.09,Matches
327,Mark Noble,eng ENG,MF,West Ham,32,1987,26,26,"2,147",4,1,3,3,4,0,0.17,0.04,0.21,0.04,0.08,2.9,0.6,1.3,0.12,0.06,0.18,0.02,0.08,Matches
110,Issa Diop,fr FRA,DF,West Ham,22,1997,23,22,"1,956",3,0,0,0,8,0,0.14,0,0.14,0.14,0.14,1.4,1.4,0.3,0.06,0.01,0.08,0.06,0.08,Matches
105,Leander Dendoncker,be BEL,"DF,MF",Wolves,24,1995,29,26,"2,280",2,0,0,0,4,0,0.08,0,0.08,0.08,0.08,1.4,1.4,0.6,0.05,0.02,0.08,0.05,0.08,Matches
393,Fabian Schär,ch SUI,DF,Newcastle Utd,27,1991,18,15,"1,397",2,0,0,0,4,0,0.13,0,0.13,0.13,0.13,1.2,1.2,0.1,0.08,0.01,0.08,0.08,0.08,Matches
265,Harry Maguire,eng ENG,DF,Manchester Utd,26,1993,29,29,"2,610",1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,1.8,1.8,0.5,0.06,0.02,0.08,0.06,0.08,Matches
417,Ça?lar Söyüncü,tr TUR,DF,Leicester City,23,1996,28,28,"2,520",1,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07,2.1,2.1,0.2,0.08,0.01,0.08,0.08,0.08,Matches
74,Jonny Castro,es ESP,DF,Wolves,25,1994,26,25,"2,197",1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,0.8,0.04,0.03,0.08,0.04,0.08,Matches
423,Jack Stephens,eng ENG,DF,Southampton,25,1994,21,20,"1,828",1,3,0,0,2,0,0.05,0.15,0.2,0.05,0.2,0.8,0.8,0.8,0.04,0.04,0.08,0.04,0.08,Matches
440,James Tomkins,eng ENG,DF,Crystal Palace,30,1989,18,18,"1,584",1,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,1.3,1.3,0.1,0.07,0.01,0.08,0.07,0.08,Matches
456,Jan Vertonghen,be BEL,DF,Tottenham,32,1987,19,18,"1,544",1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,0.4,0.4,0.9,0.03,0.05,0.08,0.03,0.08,Matches
64,Dan Burn,eng ENG,DF,Brighton,27,1992,25,25,"2,149",0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,1.1,0.03,0.04,0.08,0.03,0.08,Matches
174,Frederic Guilbert,fr FRA,DF,Aston Villa,24,1994,23,21,"1,900",0,2,0,0,7,0,0,0.09,0.09,0,0.09,0.3,0.3,1.4,0.01,0.07,0.08,0.01,0.08,Matches
147,Ryan Fredericks,eng ENG,DF,West Ham,26,1992,20,19,"1,688",0,2,0,0,5,0,0,0.11,0.11,0,0.11,0,0,1.5,0,0.08,0.08,0,0.08,Matches
481,Harry Winks,eng ENG,MF,Tottenham,23,1996,23,19,"1,594",0,0,0,0,8,0,0,0,0,0,0,0.4,0.4,0.9,0.02,0.05,0.08,0.02,0.08,Matches
82,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,15,15,"1,257",0,0,0,0,5,0,0,0,0,0,0,0.5,0.5,0.5,0.04,0.04,0.08,0.04,0.08,Matches
285,James McCarthy,ie IRL,MF,Crystal Palace,28,1990,24,12,"1,172",0,0,0,0,6,0,0,0,0,0,0,0.3,0.3,0.7,0.02,0.05,0.08,0.02,0.08,Matches
301,Tyrone Mings,eng ENG,DF,Aston Villa,26,1993,23,23,"2,003",2,1,0,0,5,0,0.09,0.04,0.13,0.09,0.13,0.9,0.9,0.5,0.04,0.02,0.07,0.04,0.07,Matches
339,Sokratis Papastathopoulos,gr GRE,DF,Arsenal,31,1988,19,19,"1,697",2,0,0,0,6,0,0.11,0,0.11,0.11,0.11,1.1,1.1,0.2,0.06,0.01,0.07,0.06,0.07,Matches
437,Alexander Tettey,no NOR,"MF,DF",Norwich City,33,1986,23,21,"1,791",1,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1,0.7,0.7,0.8,0.03,0.04,0.07,0.03,0.07,Matches
457,Jannik Vestergaard,dk DEN,DF,Southampton,26,1992,14,13,"1,136",1,0,0,0,2,0,0.08,0,0.08,0.08,0.08,0.8,0.8,0.1,0.06,0.01,0.07,0.06,0.07,Matches
292,Ben Mee,eng ENG,DF,Burnley,29,1989,29,29,"2,610",0,1,0,0,7,0,0,0.03,0.03,0,0.03,1.5,1.5,0.6,0.05,0.02,0.07,0.05,0.07,Matches
218,Christian Kabasele,be BEL,DF,Watford,28,1991,19,18,"1,574",0,1,0,0,3,2,0,0.06,0.06,0,0.06,0.9,0.9,0.3,0.05,0.02,0.07,0.05,0.07,Matches
411,Adam Smith,eng ENG,DF,Bournemouth,28,1991,18,18,"1,560",0,1,0,0,6,0,0,0.06,0.06,0,0.06,0.6,0.6,0.6,0.03,0.04,0.07,0.03,0.07,Matches
132,Kiko Femenía,es ESP,DF,Watford,28,1991,19,17,"1,526",0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,1.2,0.01,0.07,0.07,0.01,0.07,Matches
259,Matthew Lowton,eng ENG,DF,Burnley,30,1989,15,15,"1,350",0,1,0,0,2,0,0,0.07,0.07,0,0.07,0,0,1.1,0,0.07,0.07,0,0.07,Matches
401,Luke Shaw,eng ENG,DF,Manchester Utd,24,1995,18,14,"1,235",0,0,0,0,5,0,0,0,0,0,0,0.4,0.4,0.6,0.03,0.04,0.07,0.03,0.07,Matches
332,Angelo Ogbonna,it ITA,DF,West Ham,31,1988,24,24,"2,160",2,0,0,0,4,0,0.08,0,0.08,0.08,0.08,1.5,1.5,0,0.06,0,0.06,0.06,0.06,Matches
381,Antonio Rüdiger,de GER,DF,Chelsea,26,1993,13,13,"1,125",2,0,0,0,3,0,0.16,0,0.16,0.16,0.16,0.4,0.4,0.3,0.04,0.02,0.06,0.04,0.06,Matches
10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,27,27,"2,418",1,2,0,0,4,0,0.04,0.07,0.11,0.04,0.11,0.8,0.8,0.9,0.03,0.03,0.06,0.03,0.06,Matches
126,Björn Engels,be BEL,DF,Aston Villa,24,1994,17,15,"1,447",1,0,0,0,1,0,0.06,0,0.06,0.06,0.06,0.9,0.9,0.1,0.05,0.01,0.06,0.05,0.06,Matches
276,Adam Masina,it ITA,DF,Watford,25,1994,17,13,"1,222",1,0,0,0,3,0,0.07,0,0.07,0.07,0.07,0.3,0.3,0.5,0.02,0.04,0.06,0.02,0.06,Matches
366,Declan Rice,eng ENG,MF,West Ham,20,1999,29,29,"2,610",0,2,0,0,5,0,0,0.07,0.07,0,0.07,0.7,0.7,1.1,0.02,0.04,0.06,0.02,0.06,Matches
123,John Egan,ie IRL,DF,Sheffield Utd,26,1992,27,27,"2,419",0,0,0,0,2,0,0,0,0,0,0,1.4,1.4,0.1,0.05,0,0.06,0.05,0.06,Matches
422,Dale Stephens,eng ENG,MF,Brighton,30,1989,24,22,"1,944",0,1,0,0,6,0,0,0.05,0.05,0,0.05,0.5,0.5,0.7,0.02,0.03,0.06,0.02,0.06,Matches
67,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,20,20,"1,800",0,1,0,0,1,0,0,0.05,0.05,0,0.05,1,1,0.3,0.05,0.01,0.06,0.05,0.06,Matches
224,Martin Kelly,eng ENG,DF,Crystal Palace,29,1990,19,17,"1,550",0,1,0,0,0,0,0,0.06,0.06,0,0.06,0.1,0.1,0.9,0.01,0.05,0.06,0.01,0.06,Matches
435,Charlie Taylor,eng ENG,DF,Burnley,25,1993,17,15,"1,376",0,0,0,0,3,0,0,0,0,0,0,0,0,0.9,0,0.06,0.06,0,0.06,Matches
90,Steve Cook,eng ENG,DF,Bournemouth,28,1991,22,22,"1,849",1,0,0,0,4,1,0.05,0,0.05,0.05,0.05,0.7,0.7,0.3,0.03,0.01,0.05,0.03,0.05,Matches
441,Fikayo Tomori,eng ENG,DF,Chelsea,21,1997,15,15,"1,293",1,0,0,0,3,0,0.07,0,0.07,0.07,0.07,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05,Matches
38,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,28,28,"2,440",0,0,0,0,4,0,0,0,0,0,0,0.6,0.6,0.7,0.02,0.03,0.05,0.02,0.05,Matches
136,Fernandinho,br BRA,DF,Manchester City,34,1985,23,22,"1,997",0,0,0,0,8,1,0,0,0,0,0,0.8,0.8,0.3,0.04,0.01,0.05,0.04,0.05,Matches
483,Granit Xhaka,ch SUI,MF,Arsenal,26,1992,22,22,"1,908",0,1,0,0,7,0,0,0.05,0.05,0,0.05,0.2,0.2,0.9,0.01,0.04,0.05,0.01,0.05,Matches
101,Craig Dawson,eng ENG,DF,Watford,29,1990,20,17,"1,549",0,0,0,0,4,0,0,0,0,0,0,0.8,0.8,0,0.05,0,0.05,0.05,0.05,Matches
178,Grant Hanley,sco SCO,DF,Norwich City,27,1991,15,14,"1,262",0,0,0,0,4,0,0,0,0,0,0,0.6,0.6,0,0.04,0,0.05,0.04,0.05,Matches
272,Adrian Mariappa,jm JAM,DF,Watford,32,1986,15,13,"1,226",0,0,0,0,4,1,0,0,0,0,0,0.3,0.3,0.4,0.02,0.03,0.05,0.02,0.05,Matches
229,Ezri Konsa,eng ENG,DF,Aston Villa,21,1998,15,14,"1,199",0,2,0,0,1,0,0,0.15,0.15,0,0.15,0.6,0.6,0.1,0.05,0.01,0.05,0.05,0.05,Matches
397,Morgan Schneiderlin,fr FRA,MF,Everton,29,1989,15,12,"1,003",0,0,0,0,6,1,0,0,0,0,0,0.3,0.3,0.2,0.03,0.01,0.05,0.03,0.05,Matches
248,Jamal Lewis,nir NIR,DF,Norwich City,21,1998,19,16,"1,498",1,0,0,0,2,0,0.06,0,0.06,0.06,0.06,0.3,0.3,0.4,0.02,0.02,0.04,0.02,0.04,Matches
318,Marvelous Nakamba,zw ZIM,MF,Aston Villa,25,1994,21,18,"1,634",0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.5,0.01,0.03,0.04,0.01,0.04,Matches
378,Oriol Romeu,es ESP,MF,Southampton,27,1991,22,13,"1,308",0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.3,0.01,0.02,0.04,0.01,0.04,Matches
34,Phil Bardsley,sco SCO,DF,Burnley,34,1985,14,14,"1,260",0,1,0,0,4,0,0,0.07,0.07,0,0.07,0.2,0.2,0.3,0.01,0.02,0.04,0.01,0.04,Matches
450,Tom Trybull,de GER,MF,Norwich City,26,1993,14,12,"1,029",0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0,0.04,0,0.04,0.04,0.04,Matches
41,Jan Bednarek,pl POL,DF,Southampton,23,1996,27,27,"2,428",1,0,0,0,3,0,0.04,0,0.04,0.04,0.04,0.8,0.8,0.1,0.03,0,0.03,0.03,0.03,Matches
249,Victor Lindelöf,se SWE,DF,Manchester Utd,25,1994,26,26,"2,340",1,0,0,0,5,0,0.04,0,0.04,0.04,0.04,0.4,0.4,0.4,0.01,0.02,0.03,0.01,0.03,Matches
241,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,25,1993,19,19,"1,632",1,0,0,0,2,0,0.06,0,0.06,0.06,0.06,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0.03,Matches
391,Davinson Sánchez,co COL,DF,Tottenham,23,1996,22,21,"1,890",0,0,0,0,5,0,0,0,0,0,0,0.7,0.7,0,0.03,0,0.03,0.03,0.03,Matches
160,Ben Godfrey,eng ENG,DF,Norwich City,21,1998,21,21,"1,835",0,0,0,0,2,1,0,0,0,0,0,0.6,0.6,0,0.03,0,0.03,0.03,0.03,Matches
492,Kurt Zouma,fr FRA,DF,Chelsea,24,1994,22,19,"1,803",0,0,0,0,5,0,0,0,0,0,0,0.6,0.6,0,0.03,0,0.03,0.03,0.03,Matches
490,Christoph Zimmermann,de GER,DF,Norwich City,26,1993,15,15,"1,296",0,1,0,0,2,0,0,0.07,0.07,0,0.07,0.4,0.4,0,0.03,0,0.03,0.03,0.03,Matches
104,Fabian Delph,eng ENG,MF,Everton,29,1989,16,13,"1,189",0,0,0,0,5,1,0,0,0,0,0,0.1,0.1,0.3,0,0.03,0.03,0,0.03,Matches
55,Willy Boly,fr FRA,DF,Wolves,28,1991,13,13,"1,169",0,1,0,0,3,1,0,0.08,0.08,0,0.08,0,0,0.3,0,0.03,0.03,0,0.03,Matches
86,Conor Coady,eng ENG,DF,Wolves,26,1993,29,29,"2,610",0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0.02,0.02,0,0.02,Matches
353,Nick Pope,eng ENG,GK,Burnley,27,1992,29,29,"2,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.02,0.02,0,0.02,Matches
12,Alisson,br BRA,GK,Liverpool,26,1992,20,20,"1,734",0,1,0,0,0,1,0,0.05,0.05,0,0.05,0,0,0.4,0,0.02,0.02,0,0.02,Matches
153,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,"1,612",0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0,0.02,0.02,0,0.02,Matches
467,Joel Ward,eng ENG,DF,Crystal Palace,29,1989,20,18,"1,573",0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
396,Kasper Schmeichel,dk DEN,GK,Leicester City,32,1986,29,29,"2,610",0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01,Matches
75,Craig Cathcart,nir NIR,DF,Watford,30,1989,27,27,"2,355",0,0,0,0,6,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.01,0,0.01,Matches
163,Joe Gomez,eng ENG,DF,Liverpool,22,1997,19,14,"1,276",0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,Matches
120,Paul Dummett,wal WAL,DF,Newcastle Utd,27,1991,16,14,"1,229",0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,Matches
117,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,29,29,"2,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Ben Foster,eng ENG,GK,Watford,36,1983,29,29,"2,610",0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,Matches
155,David de Gea,es ESP,GK,Manchester Utd,28,1990,29,29,"2,610",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Rui Patrício,pt POR,GK,Wolves,31,1988,29,29,"2,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
348,Jordan Pickford,eng ENG,GK,Everton,25,1994,29,29,"2,610",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
383,Mathew Ryan,au AUS,GK,Brighton,27,1992,29,29,"2,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
246,Bernd Leno,de GER,GK,Arsenal,27,1992,28,28,"2,520",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
361,Aaron Ramsdale,eng ENG,GK,Bournemouth,21,1998,28,28,"2,520",0,1,0,0,0,0,0,0.04,0.04,0,0.04,0,0,0,0,0,0,0,0,Matches
172,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,27,27,"2,430",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
182,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,27,27,"2,430",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
233,Tim Krul,nl NED,GK,Norwich City,31,1988,27,27,"2,430",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,25,25,"2,250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Ederson,br BRA,GK,Manchester City,25,1993,25,25,"2,171",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,"1,795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,Alex McCarthy,eng ENG,GK,Southampton,29,1989,19,19,"1,710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,?ukasz Fabia?ski,pl POL,GK,West Ham,34,1985,16,16,"1,309",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches